feature_index,p_value
0,1.2038620275033187e-05
1,0.19001803847071116
2,2.2156124789298485e-05
3,0.09236749323268928
4,1.8638865396167515e-11
5,0.46482598588994595
6,3.7434696247792296e-17
7,0.5351272440271526
